Time [s],SDA,SCL
5.270087750,0,1
5.270092500,0,0
5.270097750,0,1
5.270102500,0,0
5.270107750,0,1
5.270112500,0,0
5.270112792,1,0
5.270117750,1,1
5.270122500,1,0
5.270127208,0,0
5.270132167,0,1
5.270137875,1,1
7.270438917,0,1
7.270444000,0,0
7.270448708,1,0
7.270453542,1,1
7.270458292,1,0
7.270458500,0,0
7.270463542,0,1
7.270468292,0,0
7.270473542,0,1
7.270478292,0,0
7.270483542,0,1
7.270488292,0,0
7.270493542,0,1
7.270498292,0,0
7.270503542,0,1
7.270508292,0,0
7.270513542,0,1
7.270518292,0,0
7.270523542,0,1
7.270528292,0,0
7.270528625,1,0
7.270533542,1,1
7.270538292,1,0
7.270543000,0,0
7.270548000,0,1
7.270553667,1,1
7.270653625,0,1
7.270658708,0,0
7.270663375,1,0
7.270668167,1,1
7.270672958,1,0
7.270673125,0,0
7.270678167,0,1
7.270682958,0,0
7.270688167,0,1
7.270692958,0,0
7.270698167,0,1
7.270702958,0,0
7.270708167,0,1
7.270712958,0,0
7.270718167,0,1
7.270722958,0,0
7.270728167,0,1
7.270732958,0,0
7.270738167,0,1
7.270742958,0,0
7.270743250,1,0
7.270748167,1,1
7.270752958,1,0
7.270757708,0,0
7.270762708,0,1
7.270768375,1,1
9.271074458,0,1
9.271079500,0,0
9.271084250,1,0
9.271089042,1,1
9.271093833,1,0
9.271094000,0,0
9.271099083,0,1
9.271103833,0,0
9.271109083,0,1
9.271113833,0,0
9.271119083,0,1
9.271123833,0,0
9.271129083,0,1
9.271133833,0,0
9.271139083,0,1
9.271143833,0,0
9.271149083,0,1
9.271153833,0,0
9.271159083,0,1
9.271163833,0,0
9.271164125,1,0
9.271169042,1,1
9.271173833,1,0
9.271178542,0,0
9.271183500,0,1
9.271189208,1,1
9.271289167,0,1
9.271294208,0,0
9.271298917,1,0
9.271303708,1,1
9.271308458,1,0
9.271308667,0,0
9.271313708,0,1
9.271318500,0,0
9.271323708,0,1
9.271328500,0,0
9.271333708,0,1
9.271338500,0,0
9.271343708,0,1
9.271348500,0,0
9.271353708,0,1
9.271358500,0,0
9.271363708,0,1
9.271368500,0,0
9.271373708,0,1
9.271378500,0,0
9.271378792,1,0
9.271383708,1,1
9.271388500,1,0
9.271393167,0,0
9.271398167,0,1
9.271403833,1,1
11.271699917,0,1
11.271704958,0,0
11.271709625,1,0
11.271714458,1,1
11.271719208,1,0
11.271719417,0,0
11.271724458,0,1
11.271729208,0,0
11.271734458,0,1
11.271739208,0,0
11.271744458,0,1
11.271749208,0,0
11.271754458,0,1
11.271759208,0,0
11.271764458,0,1
11.271769208,0,0
11.271774458,0,1
11.271779208,0,0
11.271784458,0,1
11.271789208,0,0
11.271789542,1,0
11.271794458,1,1
11.271799208,1,0
11.271803958,0,0
11.271808958,0,1
11.271814667,1,1
11.271914625,0,1
11.271919667,0,0
11.271924333,1,0
11.271929167,1,1
11.271933917,1,0
11.271934125,0,0
11.271939167,0,1
11.271943917,0,0
11.271949167,0,1
11.271953917,0,0
11.271959167,0,1
11.271963917,0,0
11.271969167,0,1
11.271973917,0,0
11.271979167,0,1
11.271983917,0,0
11.271989167,0,1
11.271993917,0,0
11.271999167,0,1
11.272003917,0,0
11.272004250,1,0
11.272009167,1,1
11.272013917,1,0
11.272018625,0,0
11.272023583,0,1
11.272029292,1,1
13.272330375,0,1
13.272335417,0,0
13.272340083,1,0
13.272344875,1,1
13.272349667,1,0
13.272349875,0,0
13.272354917,0,1
13.272359667,0,0
13.272364917,0,1
13.272369667,0,0
13.272374917,0,1
13.272379667,0,0
13.272384917,0,1
13.272389667,0,0
13.272394917,0,1
13.272399667,0,0
13.272404917,0,1
13.272409667,0,0
13.272414917,0,1
13.272419667,0,0
13.272419958,1,0
13.272424917,1,1
13.272429667,1,0
13.272434375,0,0
13.272439333,0,1
13.272445042,1,1
13.272545000,0,1
13.272550083,0,0
13.272554750,1,0
13.272559542,1,1
13.272564333,1,0
13.272564500,0,0
13.272569542,0,1
13.272574333,0,0
13.272579542,0,1
13.272584333,0,0
13.272589542,0,1
13.272594333,0,0
13.272599542,0,1
13.272604333,0,0
13.272609542,0,1
13.272614333,0,0
13.272619542,0,1
13.272624333,0,0
13.272629542,0,1
13.272634333,0,0
13.272634625,1,0
13.272639542,1,1
13.272644333,1,0
13.272649000,0,0
13.272654000,0,1
13.272659667,1,1
15.272955750,0,1
15.272960792,0,0
15.272965542,1,0
15.272970333,1,1
15.272975125,1,0
15.272975292,0,0
15.272980333,0,1
15.272985125,0,0
15.272990333,0,1
15.272995125,0,0
15.273000333,0,1
15.273005125,0,0
15.273010333,0,1
15.273015125,0,0
15.273020333,0,1
15.273025125,0,0
15.273030333,0,1
15.273035125,0,0
15.273040333,0,1
15.273045125,0,0
15.273045417,1,0
15.273050333,1,1
15.273055125,1,0
15.273059792,0,0
15.273064792,0,1
15.273070458,1,1
15.273175458,0,1
15.273180500,0,0
15.273185167,1,0
15.273189958,1,1
15.273194750,1,0
15.273194958,0,0
15.273200000,0,1
15.273204750,0,0
15.273210000,0,1
15.273214750,0,0
15.273220000,0,1
15.273224750,0,0
15.273230000,0,1
15.273234750,0,0
15.273240000,0,1
15.273244750,0,0
15.273250000,0,1
15.273254750,0,0
15.273260000,0,1
15.273264750,0,0
15.273265042,1,0
15.273270000,1,1
15.273274750,1,0
15.273279500,0,0
15.273284500,0,1
15.273290167,1,1
16.234666667,1,1
